Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls2,Ast3,G+A,G-PK,G+A-PK,Matches,MOTM
Tim Ream\Tim-Ream,us USA,DF,31,44,44,3950,0,0,0,0,0,0,0,0,0,0,0,Matches,0
Aleksandar Mitrović\Aleksandar-Mitrovic,rs SRB,FW,24,40,40,3589,26,2,4,5,8,0,0.65,0.05,0.7,0.55,0.6,Matches,6
Joe Bryan\Joe-Bryan,eng ENG,DF,25,43,39,3412,1,7,0,0,6,0,0.03,0.18,0.21,0.03,0.21,Matches,3
Tom Cairney\Tom-Cairney,sco SCO,MF,28,39,38,3263,8,3,0,0,5,0,0.22,0.08,0.3,0.22,0.3,Matches,3
Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,25,43,36,3025,6,7,0,0,4,0,0.18,0.21,0.39,0.18,0.39,Matches,2
Marek Rodák\Marek-Rodak,sk SVK,GK,22,33,33,2896,0,0,0,0,3,1,0,0,0,0,0,Matches,1
Bobby Reid\Bobby-Reid,jm JAM,MFFW,26,41,30,2845,6,2,0,0,4,0,0.19,0.06,0.25,0.19,0.25,Matches,4
Anthony Knockaert\Anthony-Knockaert,fr FRA,FWMF,27,42,32,2836,3,4,0,0,6,0,0.1,0.13,0.22,0.1,0.22,Matches,2
Denis Odoi\Denis-Odoi,be BEL,DF,31,34,30,2599,0,1,0,0,7,1,0,0.03,0.03,0,0.03,Matches,0
Alfie Mawson\Alfie-Mawson,eng ENG,DF,25,27,25,2193,0,0,0,0,3,0,0,0,0,0,0,Matches,0
Harrison Reed\Harrison-Reed,eng ENG,MF,24,25,21,1821,0,1,0,0,6,1,0,0.05,0.05,0,0.05,Matches,2
Michael Hector\Michael-Hector,jm JAM,DF,27,20,20,1800,0,2,0,0,2,0,0,0.1,0.1,0,0.1,Matches,1
Josh Onomah\Josh-Onomah,eng ENG,MF,22,31,20,1789,3,3,0,0,3,0,0.15,0.15,0.3,0.15,0.3,Matches,3
Harry Arter\Harry-Arter,ie IRL,MF,29,28,21,1724,2,1,0,0,7,1,0.1,0.05,0.16,0.1,0.16,Matches,0
Stefan Johansen\Stefan-Johansen,no NOR,MF,28,33,19,1695,0,4,0,0,3,0,0,0.21,0.21,0,0.21,Matches,0
Cyrus Christie\Cyrus-Christie,ie IRL,DF,26,24,13,1441,1,1,0,0,5,0,0.06,0.06,0.12,0.06,0.12,Matches,1
Marcus Bettinelli\Marcus-Bettinelli,eng ENG,GK,27,14,13,1242,0,0,0,0,3,0,0,0,0,0,0,Matches,0
Aboubakar Kamara\Aboubakar-Kamara,fr FRA,FWMF,24,25,8,919,4,4,0,0,2,0,0.39,0.39,0.78,0.39,0.78,Matches,1
Steven Sessegnon\Steven-Sessegnon,eng ENG,DF,19,14,9,714,0,0,0,0,2,0,0,0,0,0,0,Matches,2
Kevin McDonald\Kevin-McDonald,sco SCO,MF,30,16,7,623,0,0,0,0,4,0,0,0,0,0,0,Matches,0
Neeskens Kebano\Neeskens-Kebano,cd COD,MFFW,27,16,5,588,3,1,0,0,3,1,0.46,0.15,0.61,0.46,0.61,Matches,0
Maxime Le Marchand\Maxime-Le-Marchand,fr FRA,DF,29,12,3,305,0,0,0,0,1,0,0,0,0,0,0,Matches,0
Matt O'Riley\Matt-ORiley,eng ENG,MF,18,1,0,64,0,0,0,0,0,0,0,0,0,0,0,Matches,0
Floyd Ayité\Floyd-Ayite,tg TOG,FWMF,30,1,0,17,0,0,0,0,0,0,0,0,0,0,0,Matches,0
Terence Kongolo\Terence-Kongolo,nl NED,DF,25,1,0,10,0,0,0,0,0,0,0,0,0,0,0,Matches,0
Luca de la Torre\Luca-de-la-Torre,us USA,MF,21,2,0,9,0,0,0,0,0,0,0,0,0,0,0,Matches,0
Sylvester Jasper\Sylvester-Jasper,eng ENG,FW,17,2,0,6,0,0,0,0,0,0,0,0,0,0,0,Matches,0
Jay Stansfield\Jay-Stansfield,eng ENG,FW,100,1,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches,0
Rui Fonte\Rui-Fonte,pt POR,FWMF,29,0,0,,,,,,,,,,,,,Matches,
