AleksandarMitrović,AleksandarMitrovic
AlissonRamsesBecker,Alisson
AllanMarquesLoureiro,Allan
AndréFilipeTavaresGomes,AndréGomes
AndréFrankZamboAnguissa,FranckZambo
BamideleAlli,DeleAlli
BobbyDecordovaReid,BobbyReid
DanielCasteloPodence,DanielPodence
DanielCeballosFernández,DaniCeballos
EdwardNketiah,Eddie Nketiah
FabioHenriqueTavares,Fabinho
FelipeAndersonPereiraGomes,FelipeAnderson
GabrielMagalhães,Gabriel
HeungMinSon,SonHeung-Min
HélderWanderSousadeAzevedoeCosta,HélderCosta
IvanRicardoNevesAbreuCavaleiro,IvanCavaleiro
JoelintonCássioApolináriodeLira,Joelinton
JorgeLuizFrelloFilho,Jorginho
JoãoFilipeIriaSantosMoutinho,"João Moutinho
"
KepaArrizabalaga,Kepa
LucasRodriguesMouradaSilva,Lucas Moura
MathewRyan,Mat Ryan
MohamedNaserElSayedElneny,Mohamed Elneny
NicolasPépé,Nicolas Pepe
OluwasemilogoAdesewoIbidapoAjayi,Semi Ajayi
OriolRomeuVidal,Oriol Romeu
PabloHernándezDomínguez,Pablo Hernández
PedroLombaNeto,Pedro Neto
RicharlisondeAndrade,Richarlison
RodrigoMoreno,Rodrigo
RomainSaïss,Romain Saiss
RuiPedrodosSantosPatrício,Rui Patrício
RúbenDiogodaSilvaNeves,Rui Patrício
SolomonMarch,Solly March
TanguyNdombele,Tanguy NDombele Alvaro
VitorFerreira,Vitinha
WillianBorgesDaSilva,Willian
ÇaglarSöyüncü,Caglar Söyüncü
BrunoMiguelBorgesFernandes,Bruno Fernandes
DavidLuizMoreiraMarinho,David Luiz
DouglasLuizSoaresdePaulo,Douglas Luiz
EdersonSantanadeMoraes,Ederson
EmilianoMartínez,Emiliano Martinez
FernandoLuizRosa,Fernandinho
FerranTorres,Ferrán Torres
GabrielFernandodeJesus,Gabriel Jesus
MahmoudAhmedIbrahimHassan,Trézéguet
RodrigoHernandez,Rodri
RúbenGonçaloSilvaNascimentoVinagre,Rúben Vinagre
ThiagoAlcántaradoNascimento,Thiago Alcántara
FredericoRodriguesdePaulaSantos,Fred
IanCarloPovedaOcampo,Ian Poveda-Ocampo
NélsonCabralSemedo,Nélson Semedo
ThiagoThiago,Thiago Silva
AdriánSanMigueldelCastillo,Adrián
AhmedElMohamady,Ahmed Elmohamady
BenjaminChilwell,Ben Chilwell
BernardoMotaVeigadeCarvalhoeSilva,Bernardo Silva
RúbenSantosGatoAlvesDias,Adrián
AhmedElSayedHegazy,Ahmed Hegazy
JoãoPedroCavacoCancelo,João Cancelo
RaphaelDiasBelloli,Raphinha
BernardAnícioCaldeiraDuarte,Bernard
BernardoFernandesdaSilvaJunior,Bernardo
SaïdBenrahma,Said Benrahma
CarlosViniciusAlvesMorais,Carlos Vinicius
AlexNicolaoTelles,Alex Telles
EmersonPalmieridosSantos,Emerson
JosephWillock,Joe Willock
GabrielTeodoroMartinelliSilva,Gabriel Martinelli
FranciscoCasillaCortés,Kiko Casilla
RicardoDomingosBarbosaPereira,Ricardo Pereira
WillianJoséDaSilva,"Willian José
"
MartinØdegaard,Martin Odegaard
JonathanCastroOtto,Jonny
